PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Commercial,3560283000,2238 N FARWELL AV,,3,6262,"Store Bldg - Multi Story (Store & Apt, Store & O",,3,1923,0,26304,1,0,0,0,9600,2002-09,1275000
Commercial,3281505100,4900 W NORTH AV,,15,6250,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1947,0,12510,1,0,0,0,16203,2002-09,225000
Commercial,2870901100,4201 W FOND DU LAC AV,,7,6242,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1950,0,4148,1,0,0,0,5453,2002-09,125000
Commercial,4700232000,2538 W LEGION ST,,8,6278,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1910,0,2626,1,0,0,0,3075,2002-09,63000
Commercial,3281694000,4619 W CENTER ST,,15,6250,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1925,0,2188,1,0,0,0,1120,2002-09,55000
Commercial,6239831000,4866 S 27TH ST,,13,6418,Svc Station w Conv and Carwash,,1,1995,0,1260,1,0,0,0,15761,2002-09,550000
Commercial,1820311000,11927 W SILVER SPRING DR,,5,6212,Warehouse Building - 1 Story,,1,1986,0,15000,1,0,0,0,92521,2002-09,860000
Residential,3880628000,959 N 34TH ST,,4,2300,AP 1,Frame,2,1890,0,2329,4,4,1,0,5781,2002-10,66500
Lg Apartment,5391101100,3333 S CLEMENT AV,"37: 1-Br ,1: 2-Br ",14,6979,"Apartment: 37: 1-Br ,1: 2-Br  Units",,2,1974,0,27186,1,0,0,0,0,2002-10,1790000
Commercial,5381408000,3114 S CHASE AV,,14,6282,"Bank, Savings & Loan",,1,1968,0,2494,1,0,0,0,3400,2002-10,100000
Commercial,1900941100,5332 W VILLARD AV,,1,6218,Medical Clinic,,1,1956,0,3728,1,0,0,0,7800,2002-10,192000
Commercial,4360256000,3621 W NATIONAL AV,,8,6274,Multi Story Warehouse,,2,1922,0,4126,1,0,0,0,3687,2002-10,115000
Commercial,3050531100,7100 W CENTER ST,,10,6226,Office Building - 1 Story,,1,1952,0,6982,1,0,0,0,13647,2002-10,288000
Commercial,3470301000,4733 W NORTH AV,,15,6250,Office Building - Multi Story ( Ofc & Apt),,2,1911,0,6374,1,0,0,0,4164,2002-10,60000
Commercial,5070938100,620 W OKLAHOMA AV,,14,6415,Pharmacy,,1,1995,0,13500,1,0,0,0,53032,2002-10,3010000
Commercial,4332208000,1216 S CESAR E CHAVEZ DR,,12,6277,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1914,0,9880,1,0,0,0,6084,2002-10,135000
Commercial,2240716000,7848 W APPLETON AV,,5,6226,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1961,0,3806,1,0,0,0,4800,2002-10,90000
Commercial,2851505000,2101 W AUER AV,,7,6240,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1924,0,3106,1,0,0,0,7200,2002-10,67000
Commercial,3501718110,2101 W BROWN ST,,15,6254,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1890,0,2472,1,0,0,0,6890,2002-10,24000
Commercial,4340056111,2020 W NATIONAL AV,,8,6277,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1890,0,2423,1,0,0,0,3716,2002-10,60000
Commercial,2510032100,7440 W CAPITOL DR,,2,6226,Strip Shopping Center,,1,1945,0,9192,1,0,0,0,22327,2002-10,275000
Commercial,4970843100,2604 S 12TH ST,,12,6281,Tavern,,2,1912,0,3174,1,0,0,0,2978,2002-10,99900
Commercial,1880412110,7540 W FOND DU LAC AV,,2,6214,Tire Dealer,,1,1984,0,1426,1,0,0,0,14400,2002-10,85000
Commercial,3240882000,1829 W CENTER ST,,15,6256,Warehouse Building - 1 Story,,1,1916,0,10800,1,0,0,0,10800,2002-10,35000
Commercial,1379849000,3520 W ELM ST,,1,6216,Warehouse Building - 1 Story,,1,1948,0,7600,1,0,0,0,40888,2002-10,180000
Residential,3880406000,3209 W WELLS ST,,4,2300,Mansion,Stone,2.5,1891,0,7450,2,7,6,0,15600,2002-11,150500
Residential,4689939000,2143 S 11TH ST,,12,4120,Duplex O/S,Frame,1.5,1906,0,2462,2,3,2,0,5075,2002-11,75000
Commercial,4701203100,2223 W FOREST HOME AV,,8,6281,Beer Depot & Liquor Store,,1,1950,0,7750,1,0,0,0,21928,2002-11,250000
Commercial,3050838000,6725 W BURLEIGH ST,,10,6226,Church,,1,1952,0,15150,1,0,0,0,28050,2002-11,260000
Commercial,4590911000,2136 W MITCHELL ST,,8,6278,Cottage,,1,1902,0,692,1,0,0,0,3750,2002-11,85000
Commercial,2300061000,2729 W ATKINSON AV,,1,6234,"Custard Stand, Drive-In",,1,1954,0,675,1,0,0,0,4560,2002-11,31000
Commercial,2880105000,4518 W BURLEIGH ST,,7,6244,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1929,0,10971,1,0,0,0,9808,2002-11,172500
Commercial,3050935000,6139 W APPLETON AV,,10,6226,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1930,0,6364,1,0,0,0,8640,2002-11,140000
Commercial,4691751000,1600 W BECHER ST,,12,6278,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1898,0,3264,1,0,0,0,5105,2002-11,65000
Commercial,5071162000,958 W OKLAHOMA AV,,14,6284,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1924,0,3120,1,0,0,0,3660,2002-11,110000
Commercial,3059999110,2719 N BLAINE PL,,10,6226,Store Building - Multiple Tenants,,1,1977,0,3483,1,0,0,0,12889,2002-11,184800
Commercial,2430001100,4145 N GREEN BAY AV,,1,6232,Store Building - Multiple Tenants,,1,1953,0,2460,1,0,0,0,4412,2002-11,46000
Commercial,4050812110,6718 W FAIRVIEW AV,,10,6272,"Store Building - Single tenant, 1 story",,1,1920,0,2536,1,0,0,0,6975,2002-11,92000
Commercial,5130101000,5200 W OKLAHOMA AV,,11,6455,Super Market,,1,1955,0,22035,1,0,0,0,79188,2002-11,880000
